feasibility_error_rp,optimality_error_rp,feasibility_error_no_rp,optimality_error_no_rp
1.2444742775434287e-08,8.402184571465089e-07,9.236080096216503e-08,8.763930636635061e-08
3.686562536030873e-08,2.0332265247667935e-06,1.192808106238923e-07,1.3282488959610898e-06
3.0797363513359995e-08,9.762528275090956e-07,8.64783849073918e-08,1.8050457175439035e-07
3.7091117744503896e-08,2.2914530469879455e-06,1.1653214293686687e-07,1.5653785474556909e-06
3.78124956637198e-08,1.4643800261443358e-06,1.188375267060049e-07,6.89933140162104e-07
3.417071765892972e-08,4.15985264964247e-07,8.895771106629423e-08,0.0
5.682340718605166e-08,1.4728676375157466e-06,1.7880896697185003e-07,7.1821426470778e-07
3.708988028280444e-08,1.287228942924914e-06,1.2282276019408912e-07,4.891649075423328e-07
3.4672160720731936e-08,1.6062307952623708e-06,7.703708759657806e-08,8.306899257167135e-07
2.1720775508455684e-08,1.671474478677318e-06,1.1221255812436426e-07,8.658042949743585e-07
3.621562777698681e-08,1.680667510049075e-06,8.422240184115818e-08,1.0229060997184112e-06
5.2091385024582173e-08,2.0141216906650674e-06,1.4598280625505547e-07,1.2661231265073266e-06
1.8651106933828678e-08,2.3303493881024766e-07,1.222184143872968e-07,0.0
2.361304544715291e-08,1.2003988594825364e-06,7.56306840789206e-08,4.607585107545999e-07
3.886520578655673e-08,1.0856948729869696e-06,1.3734808421857773e-07,3.307937375656495e-07
5.141695534356477e-08,1.0177235020729587e-06,1.3555975531987425e-07,2.5774141332146634e-07
3.908253356547633e-08,2.290985115473147e-06,1.3388488213164767e-07,1.5700607221304317e-06
4.723579257440475e-08,2.037495594143042e-06,1.7002921867133993e-07,1.323274980184789e-06
3.846094898813658e-08,1.0266657193881966e-06,1.0546194374472958e-07,2.522074440186168e-07
4.371799122802332e-08,1.7950190592012798e-06,9.74792213341834e-08,1.0184413918025946e-06
5.230980701375482e-08,1.4210234087039193e-06,1.025347350083766e-07,6.585120057591404e-07
1.1875766446426245e-08,1.324715484596005e-06,6.402029565171357e-08,4.6741135100549285e-07
5.0722490496572714e-08,1.1602894441643144e-06,1.2210645165642813e-07,3.397791425858751e-07
4.0917579314932234e-08,1.3800545046532708e-06,1.2319482581603208e-07,6.943327757311257e-07
3.7416912910086796e-08,1.9445022920972276e-06,1.1801528841857528e-07,1.2717864510963334e-06
4.4131630762995155e-09,1.595605935787185e-06,9.934894088138039e-08,8.343112343924764e-07
1.5585787218267092e-08,1.93877352966883e-06,8.931646826644297e-08,1.2160902023025156e-06
5.0814368344908354e-08,6.129207172055489e-07,1.6206325599622733e-07,0.0
2.804306018913984e-08,1.7454380028377417e-06,9.454220728027211e-08,1.1397834797723255e-06
2.3988630076887634e-08,1.7518974545092453e-06,1.6822662929525868e-07,1.05461001717912e-06
3.306098753646989e-08,1.3298800694464554e-06,1.2274834722568743e-07,5.742498415702839e-07
2.328348827601941e-08,1.7981300014885632e-06,7.435114083209244e-08,1.0037934676230026e-06
3.417453176946146e-08,7.90165663987705e-07,7.967552515548195e-08,0.0
5.881809481242456e-08,1.2679714428789148e-06,1.4477598762976185e-07,5.278392684923421e-07
3.020341561281349e-08,1.5220609022418093e-06,9.7775448694401e-08,7.370400818138853e-07
4.3542048567860155e-08,1.603467346323666e-06,1.3553001720401525e-07,7.873035434087664e-07
1.7082266071646092e-08,1.4297031889064843e-06,1.0279964167748275e-07,6.498164648666232e-07
5.498080454121604e-08,1.1037999438406802e-06,1.2647604934551148e-07,3.0357028208941203e-07
4.577687922787489e-08,1.4854652159964525e-06,9.71144546862688e-08,8.147217670275652e-07
2.6372716321177916e-08,1.0740186239482004e-06,6.031104881967464e-08,3.656034236461729e-07
4.2956301007584284e-08,2.005347340839885e-06,1.0471901072896464e-07,1.2553267042743861e-06
5.3879179266994026e-08,2.278778879702857e-06,1.4957586673818234e-07,1.5983452080727573e-06
3.723370069118314e-08,2.0986192724618093e-06,1.1620175563222143e-07,1.3525898655820882e-06
2.142860926702472e-08,8.781686980197142e-07,6.237578639799339e-08,8.824034457420626e-08
5.016259812718283e-08,1.5124375656569053e-06,1.280650916148951e-07,8.340233355022344e-07
4.2720497777286836e-08,8.662541928115787e-07,1.2614801832511736e-07,1.418101924741324e-07
4.333924905214706e-08,1.2206463353147175e-06,9.371151165700368e-08,4.224885846232499e-07
3.4724713627789566e-08,1.6612731036400014e-06,1.1212048641997481e-07,9.027235633248252e-07
3.2376596120632e-08,1.660166216825353e-06,1.0728467471423321e-07,8.695674877304092e-07
3.283305405139604e-08,1.4196227166424683e-06,7.645680386668162e-08,6.053040993348837e-07
5.030394551664163e-08,2.117515848672503e-06,1.3301445538920715e-07,1.411183593944295e-06
3.2377667012731716e-08,2.0384568807003805e-06,1.2037517407454217e-07,1.378108800082987e-06
2.5478069017773938e-08,1.5816244994124452e-06,1.2707784806166527e-07,7.665684508570648e-07
4.7547115029339047e-08,1.6948159146359347e-06,1.4838510811149114e-07,9.714971158167102e-07
5.9446183528812334e-08,1.7056098763193287e-06,9.695727005718742e-08,9.255328210574793e-07
3.906629664645143e-08,1.8413187368835607e-06,8.803299002716381e-08,1.0688890613644152e-06
3.2759783614229837e-08,1.3864755006403582e-06,1.1956576564478474e-07,6.091226208585661e-07
2.6106356998891446e-08,8.752182079332229e-07,1.1287980098038233e-07,8.516327356633531e-08
2.3961759636177236e-08,1.2475754106696203e-06,1.107680651182082e-07,5.001969008590876e-07
2.3394365182378857e-08,1.5348033636485995e-06,1.97129593063481e-07,7.462936761739055e-07
3.793863094010027e-08,6.742100466477252e-07,1.2619934517749868e-07,0.0
3.8673617238707304e-08,1.6214651171260834e-06,1.4164111719617404e-07,8.694678070745125e-07
3.798218344993292e-08,1.4381622841576426e-06,1.3622090948146057e-07,6.773393784997143e-07
5.9417438951294864e-08,2.048021812535594e-06,1.4977476959815234e-07,1.255929059002172e-06
3.657106101098723e-08,8.431628037468037e-07,1.0175202380392571e-07,6.654056219183539e-08
4.8839308461649854e-08,4.622793047619173e-07,1.4199847339944972e-07,0.0
3.20517315551684e-08,1.1574090916968148e-06,8.531579336767098e-08,4.3118823960419485e-07
5.0755344218127723e-08,1.5838053659173626e-06,1.1797952914172782e-07,7.884392426095875e-07
2.1486672156283942e-08,1.7856681397050887e-06,8.223758244899614e-08,1.0406659461506033e-06
2.5881899251813463e-08,1.3399156197211462e-06,1.0140633627271155e-07,6.25408757865135e-07
4.6981000007126805e-08,1.6944729812457208e-06,1.80657603497664e-07,8.667503815149401e-07
4.259904901822847e-08,7.599120509344736e-07,6.7358766650867e-08,3.5676175369417175e-08
4.371467758928854e-08,1.4458071467385105e-06,1.3498015876091802e-07,6.65169754603484e-07
4.774152375535233e-08,1.6403488110428996e-06,7.913089821110538e-08,9.173868258689981e-07
5.4028956930775144e-08,1.7380469784055196e-06,1.1512969114754934e-07,9.527030650611236e-07
3.7993527655502e-08,8.947799593377276e-07,1.3974695350899494e-07,6.072137306756592e-08
4.421571440540874e-08,2.058155877414008e-06,1.192819181103015e-07,1.2323911211884997e-06
5.393591535351703e-08,4.403827020802734e-07,9.925844327071665e-08,0.0
4.54761852986205e-08,1.59155419090717e-06,1.0023837658103862e-07,8.540531339174734e-07
4.159164176748463e-08,1.2888900098197783e-06,1.3268360175230862e-07,4.969491138690505e-07
3.3613530224392926e-08,1.277015484816653e-06,8.79834124403631e-08,5.572334365561026e-07
2.4709626268756564e-08,1.1775912595136619e-06,1.0373927286401174e-07,3.502374360848156e-07
2.5967160504921483e-08,1.645736443214715e-06,1.0054611558097172e-07,8.929982482659404e-07
5.0204346243657744e-08,1.9130423284602594e-06,1.0662567149633951e-07,1.106757691763179e-06
1.5877932626818456e-08,1.3514756393731963e-06,1.4510833137667197e-07,5.713427646358209e-07
1.582888078447527e-08,1.6967323953149515e-06,1.0573115273588674e-07,9.493013670137579e-07
2.352361488732892e-08,1.898902704657648e-06,4.4171465566172265e-08,1.109015078514961e-06
4.1623983393694436e-08,1.6088175307855585e-06,1.1987217811102695e-07,8.41184846551202e-07
8.428348735095508e-09,2.794947852584208e-06,6.458437977769683e-08,2.0923624323427626e-06
5.317328074217966e-08,1.3143672382228444e-06,1.487666890701874e-07,5.377393592961267e-07
